building_id,floors,damage_level,building_type,zoning_category,geometry
1,1,0.089,industrial,industrial,"POLYGON ((11.564763 48.126281, 11.564685 48.12687, 11.564322 48.126848, 11.5644 48.126259, 11.564763 48.126281))"
2,4,0.298,cultural,public,"POLYGON ((11.565877 48.126056, 11.566048 48.126305, 11.565724 48.126404, 11.565553 48.126155, 11.565877 48.126056))"
3,3,0.164,residential,mixed_use,"POLYGON ((11.566616 48.126372, 11.566615 48.126452, 11.566402 48.126451, 11.566403 48.12637, 11.566616 48.126372))"
4,4,0.286,commercial,commercial,"POLYGON ((11.567998 48.126089, 11.568131 48.126287, 11.56779 48.126389, 11.567657 48.126192, 11.567998 48.126089))"
5,4,0.277,commercial,mixed_use,"POLYGON ((11.568869 48.12615, 11.568941 48.12644, 11.568685 48.126469, 11.568613 48.126178, 11.568869 48.12615))"
6,6,0.149,residential,residential,"POLYGON ((11.57011 48.126325, 11.570147 48.126489, 11.569912 48.126513, 11.569874 48.126349, 11.57011 48.126325))"
7,2,0.257,cultural,historical,"POLYGON ((11.57117 48.126266, 11.571286 48.126506, 11.571062 48.126554, 11.570946 48.126314, 11.57117 48.126266))"
8,2,0.054,cultural,public,"POLYGON ((11.572476 48.12612, 11.572362 48.126413, 11.572162 48.126379, 11.572276 48.126085, 11.572476 48.12612))"
9,8,0.399,commercial,mixed_use,"POLYGON ((11.573361 48.12645, 11.573405 48.126643, 11.573222 48.126662, 11.573177 48.126469, 11.573361 48.12645))"
10,3,0.977,public,public,"POLYGON ((11.57468 48.126308, 11.574747 48.126515, 11.574191 48.126596, 11.574124 48.126388, 11.57468 48.126308))"
11,2,0.209,residential,mixed_use,"POLYGON ((11.564457 48.127152, 11.564389 48.127274, 11.564268 48.127244, 11.564336 48.127122, 11.564457 48.127152))"
12,1,0.122,industrial,industrial,"POLYGON ((11.565895 48.126829, 11.565647 48.12743, 11.565211 48.12735, 11.565459 48.126749, 11.565895 48.126829))"
13,1,0.735,industrial,industrial,"POLYGON ((11.567262 48.126903, 11.567405 48.127502, 11.566414 48.127608, 11.566271 48.127009, 11.567262 48.126903))"
14,3,0.091,residential,mixed_use,"POLYGON ((11.567732 48.126971, 11.567701 48.127096, 11.567535 48.127077, 11.567567 48.126952, 11.567732 48.126971))"
15,4,0.409,residential,mixed_use,"POLYGON ((11.568885 48.126913, 11.568951 48.127112, 11.56871 48.127147, 11.568645 48.126948, 11.568885 48.126913))"
16,2,0.912,residential,residential,"POLYGON ((11.570046 48.127002, 11.570028 48.127105, 11.569951 48.127099, 11.569969 48.126996, 11.570046 48.127002))"
