iter	RMSE
0	980.2209816
1	938.4139586
2	902.5297341
3	867.5048325
4	832.6445712
5	800.0801584
6	767.5237541
7	738.2594888
8	707.8054803
9	679.2015651
10	655.7726987
11	629.0462193
12	605.58971
13	582.5084286
14	561.2144461
15	540.5824069
16	521.8215386
17	503.1549256
18	485.7484869
19	466.6997192
20	449.5307287
21	432.5724877
22	416.9933809
23	402.1989561
24	387.688857
25	373.8448386
26	360.5989132
27	349.430341
28	337.426655
29	325.8534786
30	315.7363606
31	304.8134798
32	294.6438949
33	285.6544678
34	277.9365031
35	270.1150091
36	261.7704563
37	254.5574944
38	247.7163251
39	240.5968939
40	233.8381387
41	227.8129994
42	222.1029094
43	216.2862977
44	210.821299
45	205.5794136
46	200.2089866
47	195.8577724
48	191.2631576
49	186.7166379
50	182.9837157
51	179.75821
52	175.7495836
53	172.3863557
54	169.4447537
55	166.0435892
56	162.4177163
57	159.3673417
58	156.482519
59	153.8723663
60	150.9907075
61	148.3507971
62	145.6429461
63	143.0322271
64	140.971154
65	138.560628
66	136.4594546
67	134.1852577
68	131.9242095
69	129.879403
70	127.9159997
71	126.1928986
72	124.3563029
73	123.0550193
74	121.380714
75	120.0551592
76	118.5683048
77	116.9565092
78	115.2337425
79	114.0064289
80	112.8046999
81	111.6808066
82	110.676229
83	109.7539777
84	109.2046723
85	108.1650191
86	107.1522013
87	106.0178434
88	105.1604865
89	104.0555864
90	103.4554187
91	102.5371217
92	101.9976332
93	101.3319075
94	100.327703
95	99.4770632
96	98.69513378
97	97.87023526
98	97.27808493
99	96.55360299
100	95.92020685
101	95.12902405
102	94.3602116
103	93.61708141
104	92.84297988
105	92.38553337
106	92.00876392
107	91.45993923
108	90.8193819
109	90.47011427
110	90.05654514
111	89.49597395
112	88.98801976
113	88.66199032
114	88.15012264
115	87.69096941
116	87.12980992
117	86.62996124
118	86.19090846
119	85.87789668
120	85.52100012
121	84.96823209
122	84.48745999
123	84.08338998
124	83.56099676
125	83.21297952
126	82.88567075
127	82.54371341
128	82.29152861
129	81.76659804
130	81.50860314
131	81.20359145
132	80.90443327
133	80.67864454
134	80.20383517
135	79.81068165
136	79.54539493
137	79.12399447
138	78.9351406
139	78.75360265
140	78.59723691
141	78.33049239
142	78.00481295
143	77.85215982
144	77.57841639
145	77.37121549
146	77.2251324
147	76.9435841
148	76.80013443
149	76.44588042
150	76.02440209
151	75.88577351
152	75.60147074
153	75.36152827
154	75.02081397
155	74.52729944
156	74.24287172
157	73.82331033
158	73.62453912
159	73.07256599
160	72.86802164
161	72.72972465
162	72.42079292
163	72.31609159
164	71.92599056
165	71.67744338
166	71.54817999
167	71.33869269
168	71.21223433
169	70.99811146
170	70.81412732
171	70.33738814
172	69.93859831
173	69.85118721
174	69.56016404
175	69.34015722
176	69.07580329
177	69.00569376
178	68.84313882
179	68.58619204
180	68.31210633
181	68.10397969
182	67.68723981
183	67.31932215
184	67.02745433
185	66.69803202
186	66.39582547
187	66.05377678
188	65.81530802
189	65.62516145
190	65.36067169
191	65.15109197
192	64.95938309
193	64.75002733
194	64.61292416
195	64.47200273
196	64.26127925
197	63.96407524
198	63.76074388
199	63.66466437
200	63.55689482
201	63.48172636
202	63.2145712
203	63.09907711
204	62.85426058
205	62.61878801
206	62.39618333
207	62.19011873
208	61.95389814
209	61.70780102
210	61.59998986
211	61.36335735
212	61.26002092
213	60.96631157
214	60.71865953
215	60.47971516
216	60.25332956
217	60.08126915
218	59.92211681
219	59.71500337
220	59.47520056
221	59.35078349
222	59.09964166
223	58.94966189
224	58.75512786
225	58.58048231
226	58.41644962
227	58.23054322
228	58.05135229
