iter	Passed	Remaining
0	3	2979
1	7	2984
2	13	3492
3	17	3394
4	21	3423
5	25	3337
6	29	3386
7	33	3308
8	38	3389
9	42	3353
10	47	3386
11	50	3319
12	55	3359
13	59	3353
14	65	3409
15	69	3401
16	75	3471
17	77	3380
18	83	3425
19	87	3423
20	93	3480
21	99	3508
22	105	3550
23	107	3462
24	112	3484
25	116	3466
26	122	3515
27	127	3503
28	132	3522
29	136	3506
30	141	3511
31	145	3486
32	149	3473
33	151	3423
34	157	3444
35	161	3437
36	167	3446
37	172	3454
38	177	3466
39	181	3453
40	184	3416
41	190	3440
42	194	3423
43	199	3432
44	201	3383
45	206	3392
46	208	3341
47	213	3347
48	215	3299
49	220	3303
50	224	3291
51	229	3299
52	230	3249
53	235	3256
54	239	3239
55	243	3230
56	244	3190
57	249	3196
58	251	3157
59	256	3160
60	260	3154
61	265	3157
62	269	3152
63	274	3157
64	278	3146
65	284	3159
66	285	3126
67	290	3128
68	294	3117
69	298	3112
70	301	3098
71	306	3096
72	310	3093
73	314	3085
74	317	3066
75	321	3062
76	323	3034
77	327	3035
78	331	3028
79	333	3003
80	338	3002
81	339	2971
82	342	2961
83	344	2932
84	345	2907
85	349	2903
86	353	2898
87	358	2900
88	362	2897
89	367	2898
90	368	2867
91	370	2848
92	372	2832
93	376	2829
94	380	2825
95	382	2804
96	386	2799
97	390	2795
98	392	2777
99	396	2776
100	397	2753
101	402	2752
102	407	2756
103	411	2752
104	416	2753
105	419	2746
106	421	2731
107	423	2711
108	427	2707
109	428	2687
110	432	2687
111	437	2688
112	443	2693
113	444	2672
114	448	2673
115	454	2680
116	458	2677
117	463	2680
118	468	2678
119	471	2671
120	476	2674
121	480	2671
122	484	2664
123	489	2666
124	493	2665
125	498	2667
126	502	2663
127	507	2665
128	512	2664
129	516	2661
130	518	2649
131	520	2634
132	522	2620
133	523	2604
134	528	2601
135	531	2594
136	536	2595
137	540	2591
138	542	2578
139	543	2560
140	544	2546
141	547	2536
142	550	2531
143	552	2517
144	556	2514
145	560	2510
146	562	2498
147	566	2495
148	567	2480
149	571	2478
150	576	2479
151	577	2463
152	581	2459
153	586	2460
154	590	2458
155	594	2452
156	599	2454
157	603	2452
158	606	2444
159	611	2446
160	615	2442
161	620	2445
162	625	2443
163	626	2427
164	629	2424
165	634	2424
166	638	2421
167	643	2422
168	647	2419
169	653	2421
170	657	2418
171	662	2417
172	665	2413
173	668	2404
174	673	2403
175	677	2402
176	683	2404
177	683	2389
178	687	2384
179	692	2385
180	696	2381
181	701	2382
182	705	2378
183	710	2377
184	713	2373
185	718	2372
186	722	2369
187	728	2370
188	731	2365
189	736	2364
190	739	2359
191	747	2365
192	751	2362
193	757	2365
194	760	2360
195	766	2361
196	769	2356
197	775	2356
198	778	2351
199	783	2350
200	787	2346
201	791	2343
202	795	2340
203	799	2337
204	805	2337
205	808	2332
206	813	2331
207	817	2326
208	822	2324
209	825	2320
210	830	2319
211	835	2316
212	840	2315
213	844	2311
214	849	2310
215	853	2307
216	859	2309
217	863	2306
218	869	2305
219	873	2302
220	876	2297
221	881	2295
222	885	2290
223	890	2289
224	894	2285
225	898	2282
226	902	2278
227	907	2276
228	911	2271
229	917	2274
230	922	2271
231	927	2270
232	931	2267
233	936	2265
234	940	2261
235	946	2261
236	949	2256
237	954	2254
238	958	2250
239	963	2248
240	967	2243
241	973	2245
242	977	2240
243	982	2238
244	985	2233
245	990	2231
246	994	2226
247	999	2223
248	1002	2219
249	1007	2217
250	1011	2212
251	1016	2210
252	1020	2206
253	1025	2203
254	1029	2199
255	1034	2197
256	1037	2192
257	1042	2190
258	1046	2185
259	1051	2183
260	1055	2179
261	1060	2176
262	1063	2172
263	1071	2175
264	1076	2172
265	1082	2172
266	1087	2171
267	1094	2172
268	1099	2169
269	1103	2166
270	1107	2162
271	1112	2159
272	1117	2157
273	1122	2155
274	1127	2152
275	1132	2150
276	1136	2145
277	1141	2143
278	1145	2139
279	1151	2139
280	1155	2133
281	1160	2132
282	1164	2127
283	1170	2126
284	1174	2122
285	1180	2121
286	1184	2118
287	1190	2115
288	1193	2111
289	1199	2108
290	1202	2103
291	1207	2100
292	1211	2095
293	1216	2093
294	1220	2089
295	1225	2086
296	1229	2081
297	1233	2078
298	1238	2074
299	1242	2071
300	1246	2065
301	1251	2063
302	1254	2058
303	1260	2056
304	1264	2052
305	1269	2049
306	1273	2044
307	1278	2041
308	1282	2038
309	1287	2035
310	1291	2030
311	1296	2027
312	1300	2023
313	1304	2018
314	1309	2015
315	1313	2012
316	1318	2009
317	1320	2001
318	1324	1996
319	1328	1993
320	1333	1990
321	1337	1984
322	1340	1979
323	1345	1976
324	1349	1971
325	1354	1968
326	1357	1963
327	1362	1961
328	1365	1955
329	1371	1952
330	1374	1947
331	1379	1944
332	1382	1939
333	1387	1936
334	1391	1931
335	1396	1928
336	1399	1923
337	1405	1921
338	1409	1917
339	1414	1914
340	1418	1909
341	1424	1907
342	1429	1904
343	1434	1901
344	1438	1897
345	1444	1895
346	1448	1891
347	1453	1888
348	1457	1883
349	1462	1880
350	1465	1874
351	1470	1871
352	1474	1867
353	1479	1864
354	1483	1859
355	1488	1856
356	1493	1853
357	1497	1849
358	1501	1844
359	1505	1839
360	1510	1836
361	1514	1832
362	1519	1828
363	1523	1824
364	1528	1821
365	1531	1816
366	1537	1813
367	1541	1809
368	1545	1804
369	1550	1801
370	1553	1796
371	1558	1792
372	1561	1787
373	1566	1784
374	1570	1779
375	1575	1776
376	1578	1771
