road_id,highway,geometry
1,primary,"LINESTRING (11.55383 48.124604, 11.56187 48.12771, 11.570083 48.130024, 11.577961 48.132016, 11.58617 48.135396)"
2,primary,"LINESTRING (11.554729 48.135096, 11.562655 48.132486, 11.570935 48.130649, 11.577463 48.128014, 11.585271 48.124903)"
3,secondary,"LINESTRING (11.556525 48.121006, 11.556731 48.129931, 11.556525 48.138993)"
4,secondary,"LINESTRING (11.561017 48.121006, 11.560669 48.130005, 11.561017 48.138993)"
5,secondary,"LINESTRING (11.565508 48.121006, 11.56538 48.130024, 11.565508 48.138993)"
6,secondary,"LINESTRING (11.57 48.121006, 11.569609 48.129971, 11.57 48.138993)"
7,secondary,"LINESTRING (11.574492 48.121006, 11.574544 48.129935, 11.574492 48.138993)"
8,secondary,"LINESTRING (11.578983 48.121006, 11.579026 48.129902, 11.578983 48.138993)"
9,secondary,"LINESTRING (11.583475 48.121006, 11.583465 48.129906, 11.583475 48.138993)"
10,secondary,"LINESTRING (11.556525 48.121006, 11.570151 48.121341, 11.583475 48.121006)"
11,secondary,"LINESTRING (11.556525 48.124004, 11.56987 48.123927, 11.583475 48.124004)"
12,secondary,"LINESTRING (11.556525 48.127002, 11.569878 48.126965, 11.583475 48.127002)"
13,secondary,"LINESTRING (11.556525 48.13, 11.570132 48.129669, 11.583475 48.13)"
14,secondary,"LINESTRING (11.556525 48.132998, 11.569939 48.1331, 11.583475 48.132998)"
15,secondary,"LINESTRING (11.556525 48.135995, 11.569898 48.136125, 11.583475 48.135995)"
16,secondary,"LINESTRING (11.556525 48.138993, 11.570142 48.139243, 11.583475 48.138993)"
17,residential,"LINESTRING (11.557648 48.1211, 11.557372 48.129945, 11.557648 48.139397)"
18,residential,"LINESTRING (11.559894 48.120838, 11.55983 48.129983, 11.559894 48.138886)"
19,residential,"LINESTRING (11.56214 48.120795, 11.562 48.129949, 11.56214 48.139034)"
20,residential,"LINESTRING (11.564386 48.121473, 11.564134 48.130038, 11.564386 48.139254)"
21,residential,"LINESTRING (11.566631 48.121204, 11.566701 48.129983, 11.566631 48.139212)"
22,residential,"LINESTRING (11.568877 48.120637, 11.568913 48.129948, 11.568877 48.139341)"
23,residential,"LINESTRING (11.571123 48.120824, 11.571271 48.130046, 11.571123 48.138825)"
24,residential,"LINESTRING (11.573369 48.120979, 11.57353 48.130007, 11.573369 48.138628)"
25,residential,"LINESTRING (11.575614 48.121266, 11.575614 48.129943, 11.575614 48.138987)"
26,residential,"LINESTRING (11.57786 48.120629, 11.5779 48.130001, 11.57786 48.138543)"
27,residential,"LINESTRING (11.580106 48.121397, 11.580104 48.129967, 11.580106 48.138752)"
28,residential,"LINESTRING (11.582352 48.1206, 11.582246 48.130037, 11.582352 48.138791)"
29,residential,"LINESTRING (11.556717 48.121755, 11.569944 48.121912, 11.584009 48.121755)"
30,residential,"LINESTRING (11.556582 48.123254, 11.569967 48.12335, 11.583917 48.123254)"
31,residential,"LINESTRING (11.556134 48.124753, 11.570065 48.124809, 11.58337 48.124753)"
32,residential,"LINESTRING (11.556541 48.126253, 11.569932 48.126133, 11.583356 48.126253)"
33,residential,"LINESTRING (11.557162 48.127752, 11.570036 48.127742, 11.583221 48.127752)"
34,residential,"LINESTRING (11.557203 48.129251, 11.57 48.129137, 11.584139 48.129251)"
35,residential,"LINESTRING (11.556216 48.130749, 11.57 48.130735, 11.582809 48.130749)"
36,residential,"LINESTRING (11.556207 48.132248, 11.569936 48.132153, 11.584062 48.132248)"
37,residential,"LINESTRING (11.557223 48.133747, 11.570047 48.133778, 11.583104 48.133747)"
38,residential,"LINESTRING (11.556853 48.135246, 11.570024 48.135298, 11.583285 48.135246)"
39,residential,"LINESTRING (11.555936 48.136745, 11.569944 48.136625, 11.583957 48.136745)"
40,residential,"LINESTRING (11.556656 48.138243, 11.570002 48.138037, 11.58373 48.138243)"
41,service,"LINESTRING (11.573912 48.124142, 11.573383 48.124419, 11.572569 48.124916)"
42,service,"LINESTRING (11.581445 48.136787, 11.581264 48.136471, 11.580849 48.13616)"
43,service,"LINESTRING (11.559034 48.137144, 11.558295 48.136613, 11.557631 48.136107)"
44,service,"LINESTRING (11.580432 48.135034, 11.581053 48.135386, 11.581899 48.135606)"
45,service,"LINESTRING (11.55926 48.132941, 11.559484 48.133176, 11.559646 48.133351)"
46,service,"LINESTRING (11.575718 48.125274, 11.575773 48.124956, 11.575691 48.124462)"
47,service,"LINESTRING (11.55905 48.127621, 11.559276 48.127977, 11.559092 48.12837)"
48,service,"LINESTRING (11.577945 48.130047, 11.577017 48.130097, 11.576347 48.130098)"
49,service,"LINESTRING (11.57392 48.124192, 11.575059 48.123981, 11.575986 48.123781)"
50,service,"LINESTRING (11.568065 48.138393, 11.568683 48.137772, 11.569385 48.137227)"
51,service,"LINESTRING (11.561093 48.131022, 11.560771 48.130278, 11.560378 48.129669)"
52,service,"LINESTRING (11.5603 48.13033, 11.560299 48.12968, 11.560181 48.128958)"
53,service,"LINESTRING (11.578337 48.135578, 11.579241 48.135234, 11.580084 48.134871)"
54,service,"LINESTRING (11.575443 48.13532, 11.57486 48.135785, 11.574352 48.1365)"
55,service,"LINESTRING (11.569073 48.130767, 11.568447 48.130439, 11.5681 48.13035)"
56,service,"LINESTRING (11.559949 48.1304, 11.560155 48.13092, 11.560353 48.131636)"
57,service,"LINESTRING (11.571095 48.132472, 11.572031 48.132324, 11.572902 48.132288)"
58,service,"LINESTRING (11.568355 48.122417, 11.568836 48.122386, 11.569092 48.122299)"
59,service,"LINESTRING (11.560741 48.125507, 11.560668 48.124962, 11.560398 48.124493)"
60,service,"LINESTRING (11.571465 48.13201, 11.571379 48.132502, 11.571484 48.132917)"
61,service,"LINESTRING (11.557765 48.121738, 11.557464 48.120993, 11.557184 48.120443)"
62,service,"LINESTRING (11.561193 48.12881, 11.560735 48.128414, 11.560202 48.128221)"
63,service,"LINESTRING (11.570085 48.136412, 11.570336 48.136943, 11.570982 48.137395)"
64,service,"LINESTRING (11.581864 48.131358, 11.581481 48.131019, 11.581049 48.130672)"
65,service,"LINESTRING (11.582429 48.137291, 11.58271 48.137329, 11.583351 48.137577)"
66,service,"LINESTRING (11.558444 48.126744, 11.559516 48.126801, 11.560431 48.126939)"
67,service,"LINESTRING (11.573475 48.136789, 11.573723 48.13615, 11.574082 48.135629)"
68,service,"LINESTRING (11.583219 48.128428, 11.5833 48.128104, 11.583431 48.127581)"
69,service,"LINESTRING (11.576761 48.134578, 11.577105 48.134512, 11.577478 48.134242)"
70,service,"LINESTRING (11.567014 48.121201, 11.567872 48.121694, 11.568779 48.121962)"
