building_id,action,q_ij,area_m2,perimeter_m,floors,damage_level,access_index,zoning_category,building_type,defer_priority,defer_penalty_i,C_hat_ij,T_hat_ij,labor_hours,concrete_m3,steel_tons,equipment_hours,is_deferred,is_active
10004,repair,1,177.81198967938826,54.407446019286226,4,0.167,0.9973782944329502,mixed_use,residential,0.44520000000000004,0.0,69286.23717535217,76.37205564697683,861.556,6.462,0.431,4.308,0,1
10006,demolish,1,663.7022652839112,103.51571497113206,1,0.662,1.0,residential,residential,0.7572,0.0,127390.86407690472,144.62391074480837,1901.016,0.0,0.0,76.041,0,1
10007,demolish,1,394.2056399058067,79.88937717505353,2,0.771,0.8869128155249509,mixed_use,residential,0.8076000000000001,0.0,92925.58067810652,111.11615143218944,1258.71,0.0,0.0,50.348,0,1
10012,demolish,1,224.18551756787627,71.91251344808758,5,0.537,0.9200304499947086,residential,residential,0.6822,0.0,47109.81877662707,88.78707692584442,685.608,0.0,0.0,27.424,0,1
10014,demolish,1,266.3414027252145,72.98748614216498,3,0.511,1.0,residential,residential,0.6666,0.0,51710.24685926223,89.86497436546188,748.204,0.0,0.0,29.928,0,1
10019,repair,1,250.52393189427264,73.88254159245291,1,0.343,0.9938412251396453,residential,residential,0.5658,0.0,92848.97163571767,103.27765420560343,1241.205,9.309,0.621,6.206,0,1
10020,repair,1,282.03005392956413,67.63912701969292,4,0.107,0.7769551986405675,residential,residential,0.4242,0.0,86998.44661072036,95.49010154816744,1423.694,10.678,0.712,7.118,0,1
10027,repair,1,209.82817195703205,66.49460967971183,5,0.109,0.7157295467935016,mixed_use,residential,0.41040000000000004,0.0,81894.68593571126,90.20351313409549,1106.069,8.296,0.553,5.53,0,1
10031,repair,1,182.9681843046329,56.6366286998297,2,0.267,0.35708204091772777,residential,residential,0.5202,0.0,82891.99710550578,89.83140642063586,1092.198,8.191,0.546,5.461,0,1
10034,repair,1,98.11415007414016,39.71503358013483,4,0.086,0.9504770112976021,residential,residential,0.4116,0.0,39567.00711849029,73.35155972272673,461.847,3.464,0.231,2.309,0,1
10035,demolish,1,441.9520223091054,84.33705843718712,7,0.891,0.37590251889319803,mixed_use,residential,0.8795999999999999,0.0,161688.18440509227,152.00325765688984,1941.96,0.0,0.0,77.678,0,1
10040,demolish,1,611.3607948319658,99.39455772927673,1,0.547,0.40017076868968326,mixed_use,residential,0.6732,0.0,141144.03270215262,140.14934522775434,2014.09,0.0,0.0,80.564,0,1
10045,demolish,1,222.1648782707004,61.38787993683749,1,0.769,0.654401958754842,residential,residential,0.8214,0.0,64107.47614100692,92.18973814456763,746.085,0.0,0.0,29.843,0,1
10051,demolish,1,505.53571727781275,92.74455596314867,2,0.771,0.9715644500822068,mixed_use,residential,0.8076000000000001,0.0,126090.96495763725,127.13835130982045,1568.186,0.0,0.0,62.727,0,1
10063,demolish,1,458.27385171172995,90.62586011729994,8,0.579,0.6455908721546042,mixed_use,residential,0.6923999999999999,0.0,137636.37571424758,145.5333444207675,1665.773,0.0,0.0,66.631,0,1
10067,demolish,1,317.7382470729857,72.3479990086587,2,0.747,0.4992877665516431,mixed_use,residential,0.7931999999999999,0.0,85937.7215377735,107.0852553920464,1135.657,0.0,0.0,45.426,0,1
10070,demolish,1,242.31660031848241,62.69112362364798,3,0.534,0.38741420693445483,mixed_use,residential,0.6654,0.0,73331.30287217279,89.90750808751272,835.393,0.0,0.0,33.416,0,1
10071,repair,1,182.58343034920708,54.20449546884903,4,0.462,0.04477131391083111,residential,residential,0.6372,0.0,108481.22917106631,103.73154200915371,1369.103,10.268,0.685,6.846,0,1
10074,demolish,1,612.327850137914,101.31540990983726,2,0.748,0.93665554402739,mixed_use,residential,0.7938000000000001,0.0,133072.19238005253,145.67366207629175,1904.299,0.0,0.0,76.172,0,1
10086,demolish,1,427.43150520762026,82.7385352839846,4,0.838,0.32830489588274425,residential,residential,0.8627999999999999,0.0,142301.9422096475,142.75242818968894,1745.381,0.0,0.0,69.815,0,1
10092,demolish,1,237.75581894189554,62.53594319194839,8,0.539,0.8103789334268156,mixed_use,residential,0.6684000000000001,0.0,59749.77030992694,95.91505519508655,805.268,0.0,0.0,32.211,0,1
