building_id,area_m2,perimeter_m,floors,damage_level,access_index,zoning_category,building_type,action,labor_hours,concrete_m3,steel_tons,equipment_hours,cost,duration_days
1,3896.924,275.362,1,0.75,0.677,industrial,industrial,repair,25786.267,193.397,12.893,128.931,2847005.43,1463.2
1,3896.924,275.362,1,0.75,0.677,industrial,industrial,rebuild,77358.8,1611.642,96.698,644.657,10215735.52,4996.0
1,3896.924,275.362,1,0.75,0.677,industrial,industrial,demolish,12893.133,0.0,0.0,515.725,1415384.41,910.0
1,3896.924,275.362,1,0.75,0.677,industrial,industrial,defer,0.0,0.0,0.0,0.0,41486.65,1.0
2,860.975,144.555,4,0.302,1.0,public,cultural,repair,4474.728,33.56,2.237,22.374,501638.39,221.7
2,860.975,144.555,4,0.302,1.0,public,cultural,rebuild,13424.184,279.671,16.78,111.868,2021054.71,790.9
2,860.975,144.555,4,0.302,1.0,public,cultural,demolish,2237.364,0.0,0.0,89.495,240680.37,157.7
2,860.975,144.555,4,0.302,1.0,public,cultural,defer,0.0,0.0,0.0,0.0,8609.75,1.0
3,285.081,68.005,3,0.179,0.727,mixed_use,residential,repair,1487.214,11.154,0.744,7.436,122689.69,73.1
3,285.081,68.005,3,0.179,0.727,mixed_use,residential,rebuild,4461.642,92.951,5.577,37.18,370645.11,301.6
3,285.081,68.005,3,0.179,0.727,mixed_use,residential,demolish,743.607,0.0,0.0,29.744,48166.37,41.9
3,285.081,68.005,3,0.179,0.727,mixed_use,residential,defer,0.0,0.0,0.0,0.0,3006.46,1.0
4,732.143,115.726,10,0.054,0.633,commercial,commercial,repair,4264.776,31.986,2.132,21.324,334669.19,214.5
4,732.143,115.726,10,0.054,0.633,commercial,commercial,rebuild,12794.328,266.549,15.993,106.619,1471693.74,748.3
4,732.143,115.726,10,0.054,0.633,commercial,commercial,demolish,2132.388,0.0,0.0,85.296,179625.8,135.8
4,732.143,115.726,10,0.054,0.633,commercial,commercial,defer,0.0,0.0,0.0,0.0,7858.82,1.0
5,816.725,122.123,10,0.394,0.593,mixed_use,commercial,repair,5768.223,43.262,2.884,28.841,499605.66,336.1
5,816.725,122.123,10,0.394,0.593,mixed_use,commercial,rebuild,17304.669,360.514,21.631,144.206,2035014.14,904.1
5,816.725,122.123,10,0.394,0.593,mixed_use,commercial,demolish,2884.112,0.0,0.0,115.364,282924.4,155.9
5,816.725,122.123,10,0.394,0.593,mixed_use,commercial,defer,0.0,0.0,0.0,0.0,8832.06,1.0
6,606.411,99.415,3,0.398,0.772,residential,residential,repair,3488.029,26.16,1.744,17.44,233616.05,193.8
6,606.411,99.415,3,0.398,0.772,residential,residential,rebuild,10464.086,218.002,13.08,87.201,999690.09,675.0
6,606.411,99.415,3,0.398,0.772,residential,residential,demolish,1744.014,0.0,0.0,69.761,120682.34,118.6
6,606.411,99.415,3,0.398,0.772,residential,residential,defer,0.0,0.0,0.0,0.0,6340.63,1.0
7,972.251,124.829,3,0.156,0.898,historical,cultural,repair,4735.211,35.514,2.368,23.676,664118.84,228.1
7,972.251,124.829,3,0.156,0.898,historical,cultural,rebuild,14205.633,295.951,17.757,118.38,2488146.85,864.8
7,972.251,124.829,3,0.156,0.898,historical,cultural,demolish,2367.605,0.0,0.0,94.704,323394.84,139.5
7,972.251,124.829,3,0.156,0.898,historical,cultural,defer,0.0,0.0,0.0,0.0,9920.85,1.0
8,1020.508,127.823,1,0.537,0.612,public,cultural,repair,6283.466,47.126,3.142,31.417,908960.37,362.5
8,1020.508,127.823,1,0.537,0.612,public,cultural,rebuild,18850.399,392.717,23.563,157.087,3022434.57,1015.2
8,1020.508,127.823,1,0.537,0.612,public,cultural,demolish,3141.733,0.0,0.0,125.669,371334.7,216.4
8,1020.508,127.823,1,0.537,0.612,public,cultural,defer,0.0,0.0,0.0,0.0,10996.99,1.0
9,2952.393,217.955,3,0.131,0.482,mixed_use,commercial,repair,16175.706,121.318,8.088,80.879,1402989.36,900.8
9,2952.393,217.955,3,0.131,0.482,mixed_use,commercial,rebuild,48527.118,1010.982,60.659,404.393,5660005.51,2610.5
9,2952.393,217.955,3,0.131,0.482,mixed_use,commercial,demolish,8087.853,0.0,0.0,323.514,652093.14,487.1
9,2952.393,217.955,3,0.131,0.482,mixed_use,commercial,defer,0.0,0.0,0.0,0.0,32582.61,1.0
10,3951.233,265.82,5,0.114,0.623,public,public,repair,21503.358,161.275,10.752,107.517,2205280.83,1198.3
10,3951.233,265.82,5,0.114,0.623,public,public,rebuild,64510.073,1343.96,80.638,537.584,7964072.69,3509.1
10,3951.233,265.82,5,0.114,0.623,public,public,demolish,10751.679,0.0,0.0,430.067,957783.91,716.3
10,3951.233,265.82,5,0.114,0.623,public,public,defer,0.0,0.0,0.0,0.0,42491.56,1.0
11,94.7,39.065,4,0.572,0.844,mixed_use,residential,repair,590.243,4.427,0.295,2.951,43032.07,32.0
11,94.7,39.065,4,0.572,0.844,mixed_use,residential,rebuild,1770.73,36.89,2.213,14.756,158908.37,104.4
11,94.7,39.065,4,0.572,0.844,mixed_use,residential,demolish,295.122,0.0,0.0,11.805,24692.43,19.1
11,94.7,39.065,4,0.572,0.844,mixed_use,residential,defer,0.0,0.0,0.0,0.0,976.55,1.0
12,1907.242,182.674,1,0.802,0.955,industrial,industrial,repair,11764.953,88.237,5.882,58.825,1096839.17,529.0
12,1907.242,182.674,1,0.802,0.955,industrial,industrial,rebuild,35294.859,735.31,44.119,294.124,4805363.76,2139.2
12,1907.242,182.674,1,0.802,0.955,industrial,industrial,demolish,5882.476,0.0,0.0,235.299,591102.88,379.6
12,1907.242,182.674,1,0.802,0.955,industrial,industrial,defer,0.0,0.0,0.0,0.0,19244.07,1.0
13,5993.59,328.766,1,0.68,0.558,industrial,industrial,repair,39952.385,299.643,19.976,199.762,5092646.2,2092.2
13,5993.59,328.766,1,0.68,0.558,industrial,industrial,rebuild,119857.155,2497.024,149.821,998.81,15321978.13,9026.1
13,5993.59,328.766,1,0.68,0.558,industrial,industrial,demolish,19976.192,0.0,0.0,799.048,1903062.25,1395.6
13,5993.59,328.766,1,0.68,0.558,industrial,industrial,defer,0.0,0.0,0.0,0.0,65234.23,1.0
14,282.209,67.21,2,0.508,0.467,mixed_use,residential,repair,1835.059,13.763,0.918,9.175,127552.23,100.9
14,282.209,67.21,2,0.508,0.467,mixed_use,residential,rebuild,5505.178,114.691,6.881,45.876,558098.3,334.7
14,282.209,67.21,2,0.508,0.467,mixed_use,residential,demolish,917.53,0.0,0.0,36.701,68763.17,60.8
14,282.209,67.21,2,0.508,0.467,mixed_use,residential,defer,0.0,0.0,0.0,0.0,3122.92,1.0
15,594.93,99.083,3,0.888,0.674,mixed_use,residential,repair,4368.617,32.765,2.184,21.843,319200.23,248.0
15,594.93,99.083,3,0.888,0.674,mixed_use,residential,rebuild,13105.852,273.039,16.382,109.215,1268833.24,900.9
15,594.93,99.083,3,0.888,0.674,mixed_use,residential,demolish,2184.309,0.0,0.0,87.372,151818.98,162.3
15,594.93,99.083,3,0.888,0.674,mixed_use,residential,defer,0.0,0.0,0.0,0.0,6337.19,1.0
16,537.2,103.402,3,0.209,0.933,residential,residential,repair,2660.59,19.954,1.33,13.303,177185.32,139.2
16,537.2,103.402,3,0.209,0.933,residential,residential,rebuild,7981.771,166.287,9.977,66.515,711728.45,476.5
16,537.2,103.402,3,0.209,0.933,residential,residential,demolish,1330.295,0.0,0.0,53.212,93083.93,81.4
16,537.2,103.402,3,0.209,0.933,residential,residential,defer,0.0,0.0,0.0,0.0,5443.98,1.0
17,388.927,83.947,5,0.41,0.408,mixed_use,residential,repair,2632.558,19.744,1.316,13.163,185375.81,150.0
17,388.927,83.947,5,0.41,0.408,mixed_use,residential,rebuild,7897.673,164.535,9.872,65.814,699907.96,460.2
17,388.927,83.947,5,0.41,0.408,mixed_use,residential,demolish,1316.279,0.0,0.0,52.651,90554.72,91.8
17,388.927,83.947,5,0.41,0.408,mixed_use,residential,defer,0.0,0.0,0.0,0.0,4349.76,1.0
18,340.088,79.364,4,0.681,0.467,mixed_use,residential,repair,2501.023,18.758,1.251,12.505,195707.84,152.9
18,340.088,79.364,4,0.681,0.467,mixed_use,residential,rebuild,7503.069,156.314,9.379,62.526,852454.85,493.6
18,340.088,79.364,4,0.681,0.467,mixed_use,residential,demolish,1250.512,0.0,0.0,50.02,109744.66,77.8
18,340.088,79.364,4,0.681,0.467,mixed_use,residential,defer,0.0,0.0,0.0,0.0,3763.41,1.0
19,2444.532,211.493,3,0.551,0.932,industrial,industrial,repair,14319.466,107.396,7.16,71.597,1421726.6,907.7
19,2444.532,211.493,3,0.551,0.932,industrial,industrial,rebuild,42958.398,894.967,53.698,357.987,5800106.82,2376.0
19,2444.532,211.493,3,0.551,0.932,industrial,industrial,demolish,7159.733,0.0,0.0,286.389,718955.49,454.6
19,2444.532,211.493,3,0.551,0.932,industrial,industrial,defer,0.0,0.0,0.0,0.0,24777.78,1.0
20,457.293,89.589,4,0.459,1.0,residential,residential,repair,2566.219,19.247,1.283,12.831,161455.17,145.1
20,457.293,89.589,4,0.459,1.0,residential,residential,rebuild,7698.656,160.389,9.623,64.155,733792.8,444.5
20,457.293,89.589,4,0.459,1.0,residential,residential,demolish,1283.109,0.0,0.0,51.324,88090.67,78.9
20,457.293,89.589,4,0.459,1.0,residential,residential,defer,0.0,0.0,0.0,0.0,4572.93,1.0
21,2569.464,221.162,2,0.814,0.9,public,public,repair,16624.624,124.685,8.312,83.123,2067903.45,1106.4
21,2569.464,221.162,2,0.814,0.9,public,public,rebuild,49873.873,1039.039,62.342,415.616,6960345.17,3051.1
21,2569.464,221.162,2,0.814,0.9,public,public,demolish,8312.312,0.0,0.0,332.492,922352.64,667.6
21,2569.464,221.162,2,0.814,0.9,public,public,defer,0.0,0.0,0.0,0.0,26208.53,1.0
22,2528.9,226.809,4,0.216,0.582,public,public,repair,14408.12,108.061,7.204,72.041,1281100.4,807.6
22,2528.9,226.809,4,0.216,0.582,public,public,rebuild,43224.359,900.507,54.03,360.203,5219143.01,2456.0
22,2528.9,226.809,4,0.216,0.582,public,public,demolish,7204.06,0.0,0.0,288.162,664847.95,383.9
22,2528.9,226.809,4,0.216,0.582,public,public,defer,0.0,0.0,0.0,0.0,27403.16,1.0
23,709.843,113.192,2,0.354,0.551,mixed_use,residential,repair,4182.608,31.37,2.091,20.913,307781.46,255.5
23,709.843,113.192,2,0.354,0.551,mixed_use,residential,rebuild,12547.825,261.413,15.685,104.565,1176202.35,828.4
23,709.843,113.192,2,0.354,0.551,mixed_use,residential,demolish,2091.304,0.0,0.0,83.652,154353.64,117.1
23,709.843,113.192,2,0.354,0.551,mixed_use,residential,defer,0.0,0.0,0.0,0.0,7735.87,1.0
24,1022.578,135.163,3,0.293,0.55,mixed_use,commercial,repair,5984.383,44.883,2.992,29.922,558816.16,359.2
24,1022.578,135.163,3,0.293,0.55,mixed_use,commercial,rebuild,17953.148,374.024,22.441,149.61,1892385.79,1052.0
24,1022.578,135.163,3,0.293,0.55,mixed_use,commercial,demolish,2992.191,0.0,0.0,119.688,226200.03,193.3
24,1022.578,135.163,3,0.293,0.55,mixed_use,commercial,defer,0.0,0.0,0.0,0.0,11146.1,1.0
25,1775.928,171.998,5,0.175,1.0,mixed_use,commercial,repair,8830.802,66.231,4.415,44.154,656532.91,446.6
25,1775.928,171.998,5,0.175,1.0,mixed_use,commercial,rebuild,26492.406,551.925,33.116,220.77,2960747.67,1562.8
25,1775.928,171.998,5,0.175,1.0,mixed_use,commercial,demolish,4415.401,0.0,0.0,176.616,363384.71,282.4
25,1775.928,171.998,5,0.175,1.0,mixed_use,commercial,defer,0.0,0.0,0.0,0.0,17759.28,1.0
26,1119.445,134.378,7,0.282,0.646,mixed_use,residential,repair,6913.805,51.854,3.457,34.569,553220.31,354.0
26,1119.445,134.378,7,0.282,0.646,mixed_use,residential,rebuild,20741.414,432.113,25.927,172.845,1900551.94,1333.7
26,1119.445,134.378,7,0.282,0.646,mixed_use,residential,demolish,3456.902,0.0,0.0,138.276,257155.96,222.6
26,1119.445,134.378,7,0.282,0.646,mixed_use,residential,defer,0.0,0.0,0.0,0.0,11987.02,1.0
27,585.066,100.408,1,0.346,0.187,historical,cultural,repair,3721.027,27.908,1.861,18.605,556036.18,195.7
27,585.066,100.408,1,0.346,0.187,historical,cultural,rebuild,11163.081,232.564,13.954,93.026,2316158.34,653.7
27,585.066,100.408,1,0.346,0.187,historical,cultural,demolish,1860.514,0.0,0.0,74.421,245382.65,133.7
27,585.066,100.408,1,0.346,0.187,historical,cultural,defer,0.0,0.0,0.0,0.0,6801.98,1.0
28,858.095,120.924,2,0.785,0.35,mixed_use,residential,repair,6507.57,48.807,3.254,32.538,442443.92,373.4
28,858.095,120.924,2,0.785,0.35,mixed_use,residential,rebuild,19522.709,406.723,24.403,162.689,1951421.24,1200.9
28,858.095,120.924,2,0.785,0.35,mixed_use,residential,demolish,3253.785,0.0,0.0,130.151,235088.56,213.4
28,858.095,120.924,2,0.785,0.35,mixed_use,residential,defer,0.0,0.0,0.0,0.0,9696.47,1.0
29,311.295,71.419,2,0.051,0.774,residential,residential,repair,1454.03,10.905,0.727,7.27,84226.06,72.9
29,311.295,71.419,2,0.051,0.774,residential,residential,rebuild,4362.089,90.877,5.453,36.351,318150.44,237.5
29,311.295,71.419,2,0.051,0.774,residential,residential,demolish,727.015,0.0,0.0,29.081,43188.98,45.0
29,311.295,71.419,2,0.051,0.774,residential,residential,defer,0.0,0.0,0.0,0.0,3253.66,1.0
